唉,"āi

interjection or grunt of agreement or recognition (e.g. yes, it's me!)",,
安定,"āndìng

stable",,
安心,"ānxīn

at ease",,
按,"àn

to press",,
巴士,"bāshì

bus (loanword)",,
擺,"bǎi

to arrange",,
班機,"bānjī

airliner",,
半天,"bàntiān

half of the day",,
半夜,"bànyè

midnight",,
幫助,"bāngzhù

assistance",,
包含,"bāohán

to contain",,
寶貴,"bǎoguì

valuable",,
保護,"bǎohù

to protect",,
保守,"bǎoshǒu

conservative",,
保證,"bǎozhèng

guarantee",,
抱,"bào

to hold",,
北方,"běifāng

north",,
背景,"bèijǐng

background",,
笨,"bèn

stupid",,
逼,"bī

to compel",,
比如,"bǐrú

for example",,
畢竟,"bìjìng

after all",,
避免,"bìmiǎn

to avert",,
必要,"bìyào

necessary",,
變成,"biànchéng

to change into",,
變化,"biànhuà

change",,
標準,"biāozhǔn

(an official) standard",,
表達,"biǎodá

to express",,
表面,"biǎomiàn

surface",,
表示,"biǎoshì

to express",,
表現,"biǎoxiàn

to show",,
博士,"bóshì

doctor",,
播,"bò

to sow",,
不必,"bùbì

need not",,
不斷,"bùduàn

unceasing",,
不過,"bùguò

only",,
不見,"bùjiàn

not to see",,
不論,"bùlùn

whatever",,
不幸,"bùxìng

misfortune",,
不得不,"bùdébù

have no choice or option but to",,
不得了,"bùdéliǎo

desperately serious",,
不管,"bùguǎn

not to be concerned",,
不滿,"bùmǎn

resentful",,
不如,"bùrú

not equal to",,
不少,"bùshǎo

many",,
不足,"bùzú

insufficient",,
部分,"bùfen

part",,
部門,"bùmén

department",,
猜,"cāi

to guess",,
材料,"cáiliào

material",,
採用,"cǎiyòng

to adopt",,
參考,"cānkǎo

consultation",,
層,"céng

layer",,
曾,"céng

once",,
曾經,"céngjīng

once",,
差異,"chāyì

difference",,
產品,"chǎnpǐn

goods",,
產生,"chǎnshēng

to arise",,
超過,"chāoguò

to surpass",,
超級,"chāojí

super-",,
車禍,"chēhuò

traffic accident",,
趁,"chèn

old variant of 趁[chen4]",,
成果,"chéngguǒ

result",,
成就,"chéngjiù

accomplishment",,
成長,"chéngzhǎng

to mature",,
程度,"chéngdù

degree (level or extent)",,
承認,"chéngrèn

to admit",,
誠實,"chéngshí

honest",,
重新,"chóngxīn

again",,
初,"chū

at first",,
出版,"chūbǎn

to publish",,
出門,"chūmén

to go out",,
除了,"chúle

besides",,
處理,"chǔlǐ

to handle",,
傳統,"chuántǒng

tradition",,
串,"chuàn

to string together",,
創造,"chuàngzào

to create",,
吹,"chuī

to blow",,
詞,"cí

word",,
此,"cǐ

this",,
刺激,"cìjī

to provoke",,
從來,"cónglái

always",,
存在,"cúnzài

to exist",,
錯誤,"cuòwù

error",,
挫折,"cuòzhé

setback",,
達成,"dáchéng

to reach (an agreement)",,
大概,"dàgài

roughly",,
大會,"dàhuì

general assembly",,
大陸,"dàlù

mainland China (reference to the PRC)",,
大小,"dàxiǎo

dimension",,
大約,"dàyuē

approximately",,
代表,"dàibiǎo

representative",,
代替,"dàitì

to replace",,
帶來,"dàilái

to bring",,
擔任,"dānrèn

to hold a governmental office or post",,
淡,"dàn

insipid",,
當地,"dāngdì

local",,
當年,"dāngnián

in those days",,
當天,"dàngtiān

on that day",,
當中,"dāngzhōng

among",,
當作,"dàngzuò

to treat as",,
倒,"dǎo

to fall",,
導演,"dǎoyǎn

to direct",,
到底,"dàodǐ

finally",,
道德,"dàodé

virtue",,
道理,"dàolǐ

reason",,
得到,"dédào

to get",,
得意,"déyì

proud of oneself",,
等待,"děngdài

to wait",,
低,"dī

low",,
底下,"dǐxia

the location below sth",,
地板,"dìbǎn

floor",,
地帶,"dìdài

zone",,
地理,"dìlǐ

geography",,
地區,"dìqū

local",,
電燈,"diàndēng

electric light",,
調查,"diàochá

investigation",,
東方,"dōngfāng

the East",,
獨特,"dútè

unique",,
讀者,"dúzhě

reader",,
段,"duàn

paragraph",,
對方,"duìfāng

counterpart",,
對象,"duìxiàng

target",,
多麼,"duōme

how (wonderful etc)",,
嗯,"en

(a groaning sound)",,
兒童,"értóng

child",,
發表,"fābiǎo

to issue",,
發揮,"fāhuī

to display",,
發覺,"fājué

to become aware",,
發明,"fāmíng

to invent",,
法律,"fǎlǜ

law",,
翻,"fān

variant of 翻[fan1]",,
翻譯,"fānyì

to translate",,
煩惱,"fánnǎo

to be worried",,
反而,"fǎnér

instead",,
反應,"fǎnyìng

to react",,
犯,"fàn

to violate",,
範圍,"fànwéi

range",,
方面,"fāngmiàn

respect",,
方式,"fāngshì

way",,
房客,"fángkè

tenant",,
房屋,"fángwū

house",,
份,"fèn

classifier for gifts, newspaper, magazine, papers, reports, contracts etc",,
風格,"fēnggé

style",,
否則,"fǒuzé

if not",,
符合,"fúhé

in keeping with",,
服裝,"fúzhuāng

dress",,
付出,"fùchū

to pay",,
負擔,"fùdān

burden",,
負責,"fùzé

to be in charge of",,
改,"gǎi

to change",,
改變,"gǎibiàn

to change",,
改進,"gǎijìn

to improve",,
改善,"gǎishàn

to make better",,
蓋,"gài

lid",,
概念,"gàiniàn

concept",,
趕,"gǎn

to overtake",,
趕快,"gǎnkuài

at once",,
趕上,"gǎnshàng

to keep up with",,
感動,"gǎndòng

to move (sb)",,
搞,"gǎo

to do",,
隔壁,"gébì

next door",,
革命,"gémìng

revolution",,
根,"gēn

root",,
根據,"gēnjù

according to",,
更加,"gèngjiā

more (than sth else)",,
公尺,"gōngchǐ

meter (unit of length)",,
公分,"gōngfēn

centimeter",,
公共,"gōnggòng

public",,
功夫,"gōngfu

skill",,
功能,"gōngnéng

function",,
工具,"gōngjù

tool",,
工業,"gōngyè

industry",,
共同,"gòngtóng

common",,
貢獻,"gòngxiàn

to contribute",,
溝通,"gōutōng

to join",,
購買,"gòumǎi

to purchase",,
古,"gǔ

ancient",,
古代,"gǔdài

ancient times",,
古老,"gǔlǎo

ancient",,
故意,"gùyì

deliberately",,
觀察,"guānchá

to observe",,
觀點,"guāndiǎn

point of view",,
觀念,"guānniàn

notion",,
觀眾,"guānzhòng

spectators",,
廣告,"guǎnggào

to advertise",,
規模,"guīmó

scale",,
鬼,"guǐ

ghost",,
國內,"guónèi

domestic",,
國外,"guówài

abroad",,
國王,"guówáng

king",,
還好,"háihǎo

not bad",,
還要,"háiyào

",,
海灘,"hǎitān

beach",,
海洋,"hǎiyáng

ocean",,
害怕,"hàipà

to be afraid",,
航空,"hángkōng

aviation",,
好好,"hǎohǎo

well",,
合作,"hézuò

to cooperate",,
厚,"hòu

thick",,
忽然,"hūrán

suddenly",,
糊塗,"hútú

muddled",,
互相,"hùxiāng

each other",,
話題,"huàtí

subject (of a talk or conversation)",,
回想,"huíxiǎng

to recall",,
會議,"huìyì

meeting",,
婚姻,"hūnyīn

matrimony",,
或許,"huòxǔ

perhaps",,
基本,"jīběn

basic",,
基礎,"jīchǔ

base",,
基督教,"jīdūjiào

Christianity",,
激動,"jīdòng

to move emotionally",,
激烈,"jīliè

intense",,
積極,"jījí

active",,
機器,"jīqì

machine",,
及,"jí

and",,
擠,"jǐ

to crowd in",,
既,"jì

already",,
記錄,"jìlù

to record",,
記憶,"jìyì

to remember",,
紀念,"jìniàn

to commemorate",,
技巧,"jìqiǎo

skill",,
繼續,"jìxù

to continue",,
加入,"jiārù

to become a member",,
加上,"jiāshàng

plus",,
家長,"jiāzhǎng

head of a household",,
價值,"jiàzhí

value",,
肩膀,"jiānbǎng

shoulder",,
堅持,"jiānchí

to persevere with",,
堅強,"jiānqiáng

staunch",,
減少,"jiǎnshǎo

to lessen",,
簡直,"jiǎnzhí

simply",,
建立,"jiànlì

to establish",,
建設,"jiànshè

to build",,
建議,"jiànyì

to propose",,
降低,"jiàngdī

to reduce",,
